,상권_구분_코드_명,상권_코드_명,n,e,시군구,시군구_상권구분코드명,시군구_상권구분_상권코드명
0,골목상권,보문로26길,37.58720469334632,127.02135356029717,성북구,성북구 - 골목상권,성북구 - 골목상권 - 보문로26길
1,골목상권,보문로31길,37.58816964537452,127.01568136950489,성북구,성북구 - 골목상권,성북구 - 골목상권 - 보문로31길
2,발달상권,동작구 총신대입구역_1,37.48597765914372,126.9808235857054,동작구,동작구 - 발달상권,동작구 - 발달상권 - 동작구 총신대입구역_1
3,발달상권,서울 관악구 신림역_4,37.486436139402514,126.9302137115341,관악구,관악구 - 발달상권,관악구 - 발달상권 - 서울 관악구 신림역_4
4,발달상권,뱅뱅사거리_1,37.48862343831305,127.03346945025531,강남구,강남구 - 발달상권,강남구 - 발달상권 - 뱅뱅사거리_1
5,발달상권,뱅뱅사거리,37.49098505346684,127.02982945599554,서초구,서초구 - 발달상권,서초구 - 발달상권 - 뱅뱅사거리
6,발달상권,개봉동 현대아파트 인근,37.4895673229729,126.85579690602577,구로구,구로구 - 발달상권,구로구 - 발달상권 - 개봉동 현대아파트 인근
7,발달상권,교대역_1,37.490790031276504,127.01156764763162,서초구,서초구 - 발달상권,서초구 - 발달상권 - 교대역_1
8,발달상권,창동역,37.652806377355745,127.04899997749135,도봉구,도봉구 - 발달상권,도봉구 - 발달상권 - 창동역
9,발달상권,서울 노원구 노원역_1,37.65411533094399,127.0626902470538,노원구,노원구 - 발달상권,노원구 - 발달상권 - 서울 노원구 노원역_1
10,발달상권,서울 노원구 노원역_2,37.654639851230215,127.05890567576205,노원구,노원구 - 발달상권,노원구 - 발달상권 - 서울 노원구 노원역_2
11,발달상권,서울 노원구 노원역_3,37.65601649888628,127.0625105241541,노원구,노원구 - 발달상권,노원구 - 발달상권 - 서울 노원구 노원역_3
12,발달상권,서울 종로구 종로5가역_1,37.570421097077954,127.0013923109485,종로구,종로구 - 발달상권,종로구 - 발달상권 - 서울 종로구 종로5가역_1
13,발달상권,서울 은평구 연신내역_3,37.62069666168165,126.92047159847978,은평구,은평구 - 발달상권,은평구 - 발달상권 - 서울 은평구 연신내역_3
14,발달상권,서울 강북구 수유역_3,37.64085736435166,127.0272040015457,강북구,강북구 - 발달상권,강북구 - 발달상권 - 서울 강북구 수유역_3
15,전통시장,구의시장,37.54550242151623,127.08846716777747,광진구,광진구 - 전통시장,광진구 - 전통시장 - 구의시장
16,전통시장,동부시장,37.56730095286713,127.05259999071382,동대문구,동대문구 - 전통시장,동대문구 - 전통시장 - 동부시장
17,전통시장,답십리시장,37.57364133312369,127.05819657291528,동대문구,동대문구 - 전통시장,동대문구 - 전통시장 - 답십리시장
