지역,2020-1,2020-2,2020-3,2020-4,2021-1,2021-2,2021-3,2021-4
강남구,41,42,187,665,585,1749,3760,1075
강동구,10,25,150,397,592,851,1863,1185
강북구,5,19,120,301,423,563,1249,822
강서구,22,56,207,1054,444,619,2122,962
관악구,34,83,268,632,473,807,3198,1119
광진구,6,11,113,331,528,689,1890,616
구로구,34,52,97,441,544,485,2619,1920
금천구,12,20,61,233,167,333,1303,884
기타,3,8,74,1309,641,86,265,248
노원구,20,24,258,511,613,852,1695,1060
도봉구,6,56,144,368,425,505,1146,707
동대문구,26,12,114,481,511,692,1770,1188
동작구,24,29,184,574,529,715,2124,818
마포구,17,22,123,532,359,607,2119,691
서대문구,13,22,92,386,310,439,1486,543
서초구,25,32,138,631,412,978,2095,642
성동구,6,43,71,330,400,592,1442,555
성북구,15,18,301,478,554,705,1787,1121
송파구,27,28,284,780,658,1251,3458,1315
양천구,18,52,110,548,479,522,1621,690
영등포구,19,44,127,504,485,717,2637,1349
용산구,12,38,73,295,473,519,1338,517
은평구,21,32,198,535,581,774,2202,956
종로구,15,7,66,316,217,202,843,568
중구,5,7,46,225,242,223,1005,443
중랑구,13,20,155,614,567,793,1618,795
타시도,29,42,241,598,623,823,2425,1345
